State,State Code,Month,Month Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
California,6,"Jan., 2019",2019/01,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,12,Not Applicable,Not Applicable
California,6,"Jan., 2019",2019/01,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,14,Not Applicable,Not Applicable
California,6,"Jan., 2019",2019/01,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,45-54 years,45-54,10,Not Applicable,Not Applicable
California,6,"Jan., 2019",2019/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,27,Not Applicable,Not Applicable
California,6,"Jan., 2019",2019/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,30,Not Applicable,Not Applicable
California,6,"Jan., 2019",2019/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,14,Not Applicable,Not Applicable
California,6,"Feb., 2019",2019/02,Transport accidents,V01-V99,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,55-64 years,55-64,11,Not Applicable,Not Applicable
California,6,"Feb., 2019",2019/02,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,15-24 years,15-24,10,Not Applicable,Not Applicable
California,6,"Feb., 2019",2019/02,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,10,Not Applicable,Not Applicable
California,6,"Feb., 2019",2019/02,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,15,Not Applicable,Not Applicable
California,6,"Feb., 2019",2019/02,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,11,Not Applicable,Not Applicable
California,6,"Feb., 2019",2019/02,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,27,Not Applicable,Not Applicable
California,6,"Feb., 2019",2019/02,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,19,Not Applicable,Not Applicable
California,6,"Mar., 2019",2019/03,Transport accidents,V01-V99,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,55-64 years,55-64,10,Not Applicable,Not Applicable
California,6,"Mar., 2019",2019/03,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,14,Not Applicable,Not Applicable
California,6,"Mar., 2019",2019/03,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,10,Not Applicable,Not Applicable
California,6,"Mar., 2019",2019/03,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,45-54 years,45-54,12,Not Applicable,Not Applicable
California,6,"Mar., 2019",2019/03,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,31,Not Applicable,Not Applicable
California,6,"Mar., 2019",2019/03,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,30,Not Applicable,Not Applicable
California,6,"Mar., 2019",2019/03,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,13,Not Applicable,Not Applicable
California,6,"Apr., 2019",2019/04,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,25-34 years,25-34,10,Not Applicable,Not Applicable
California,6,"Apr., 2019",2019/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,10,Not Applicable,Not Applicable
California,6,"Apr., 2019",2019/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,18,Not Applicable,Not Applicable
California,6,"Apr., 2019",2019/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,13,Not Applicable,Not Applicable
California,6,"Apr., 2019",2019/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,18,Not Applicable,Not Applicable
California,6,"Apr., 2019",2019/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,22,Not Applicable,Not Applicable
California,6,"Apr., 2019",2019/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,16,Not Applicable,Not Applicable
California,6,"May, 2019",2019/05,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,25-34 years,25-34,10,Not Applicable,Not Applicable
California,6,"May, 2019",2019/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,27,Not Applicable,Not Applicable
California,6,"May, 2019",2019/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,12,Not Applicable,Not Applicable
California,6,"May, 2019",2019/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,45-54 years,45-54,12,Not Applicable,Not Applicable
California,6,"May, 2019",2019/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,55-64 years,55-64,11,Not Applicable,Not Applicable
California,6,"May, 2019",2019/05,Assault,X85-Y09,Assault by handgun discharge,X93,25-34 years,25-34,10,Not Applicable,Not Applicable
California,6,"May, 2019",2019/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,23,Not Applicable,Not Applicable
California,6,"May, 2019",2019/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,30,Not Applicable,Not Applicable
California,6,"May, 2019",2019/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,22,Not Applicable,Not Applicable
California,6,"Jun., 2019",2019/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,13,Not Applicable,Not Applicable
California,6,"Jun., 2019",2019/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,21,Not Applicable,Not Applicable
California,6,"Jun., 2019",2019/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,10,Not Applicable,Not Applicable
California,6,"Jun., 2019",2019/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,75-84 years,75-84,10,Not Applicable,Not Applicable
California,6,"Jun., 2019",2019/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,31,Not Applicable,Not Applicable
California,6,"Jun., 2019",2019/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,30,Not Applicable,Not Applicable
California,6,"Jun., 2019",2019/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,20,Not Applicable,Not Applicable
California,6,"Jul., 2019",2019/07,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,35-44 years,35-44,10,Not Applicable,Not Applicable
California,6,"Jul., 2019",2019/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,13,Not Applicable,Not Applicable
California,6,"Jul., 2019",2019/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,15,Not Applicable,Not Applicable
California,6,"Jul., 2019",2019/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,55-64 years,55-64,11,Not Applicable,Not Applicable
California,6,"Jul., 2019",2019/07,Assault,X85-Y09,Assault by handgun discharge,X93,25-34 years,25-34,10,Not Applicable,Not Applicable
California,6,"Jul., 2019",2019/07,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,23,Not Applicable,Not Applicable
California,6,"Jul., 2019",2019/07,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,25,Not Applicable,Not Applicable
California,6,"Jul., 2019",2019/07,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,21,Not Applicable,Not Applicable
California,6,"Aug., 2019",2019/08,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,55-64 years,55-64,12,Not Applicable,Not Applicable
California,6,"Aug., 2019",2019/08,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,25-34 years,25-34,11,Not Applicable,Not Applicable
California,6,"Aug., 2019",2019/08,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,22,Not Applicable,Not Applicable
California,6,"Aug., 2019",2019/08,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,11,Not Applicable,Not Applicable
California,6,"Aug., 2019",2019/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,22,Not Applicable,Not Applicable
California,6,"Aug., 2019",2019/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,22,Not Applicable,Not Applicable
California,6,"Aug., 2019",2019/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,22,Not Applicable,Not Applicable
California,6,"Aug., 2019",2019/08,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,45-54 years,45-54,10,Not Applicable,Not Applicable
California,6,"Aug., 2019",2019/08,Assault,X85-Y09,Assault by sharp object,X99,55-64 years,55-64,15,Not Applicable,Not Applicable
California,6,"Sep., 2019",2019/09,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,25-34 years,25-34,12,Not Applicable,Not Applicable
California,6,"Sep., 2019",2019/09,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,55-64 years,55-64,13,Not Applicable,Not Applicable
California,6,"Sep., 2019",2019/09,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,25-34 years,25-34,12,Not Applicable,Not Applicable
California,6,"Sep., 2019",2019/09,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,20,Not Applicable,Not Applicable
California,6,"Sep., 2019",2019/09,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,18,Not Applicable,Not Applicable
California,6,"Sep., 2019",2019/09,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,12,Not Applicable,Not Applicable
California,6,"Sep., 2019",2019/09,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,55-64 years,55-64,10,Not Applicable,Not Applicable
California,6,"Sep., 2019",2019/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,26,Not Applicable,Not Applicable
California,6,"Sep., 2019",2019/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,27,Not Applicable,Not Applicable
California,6,"Sep., 2019",2019/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,26,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Transport accidents,V01-V99,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,55-64 years,55-64,11,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,55-64 years,55-64,11,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,65-74 years,65-74,12,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,15-24 years,15-24,10,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,25-34 years,25-34,12,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,35-44 years,35-44,10,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,45-54 years,45-54,12,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,16,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,14,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,55-64 years,55-64,20,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,65-74 years,65-74,13,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,36,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,31,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,15,Not Applicable,Not Applicable
California,6,"Oct., 2019",2019/10,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,45-54 years,45-54,11,Not Applicable,Not Applicable
California,6,"Nov., 2019",2019/11,Transport accidents,V01-V99,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,25-34 years,25-34,10,Not Applicable,Not Applicable
California,6,"Nov., 2019",2019/11,Transport accidents,V01-V99,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,45-54 years,45-54,12,Not Applicable,Not Applicable
California,6,"Nov., 2019",2019/11,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,55-64 years,55-64,10,Not Applicable,Not Applicable
California,6,"Nov., 2019",2019/11,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,65-74 years,65-74,10,Not Applicable,Not Applicable
California,6,"Nov., 2019",2019/11,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,15-24 years,15-24,12,Not Applicable,Not Applicable
California,6,"Nov., 2019",2019/11,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,21,Not Applicable,Not Applicable
California,6,"Nov., 2019",2019/11,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,24,Not Applicable,Not Applicable
California,6,"Nov., 2019",2019/11,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,13,Not Applicable,Not Applicable
California,6,"Nov., 2019",2019/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,27,Not Applicable,Not Applicable
California,6,"Nov., 2019",2019/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,18,Not Applicable,Not Applicable
California,6,"Nov., 2019",2019/11,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,18,Not Applicable,Not Applicable
California,6,"Dec., 2019",2019/12,Transport accidents,V01-V99,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,55-64 years,55-64,13,Not Applicable,Not Applicable
California,6,"Dec., 2019",2019/12,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,35-44 years,35-44,15,Not Applicable,Not Applicable
California,6,"Dec., 2019",2019/12,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,55-64 years,55-64,12,Not Applicable,Not Applicable
California,6,"Dec., 2019",2019/12,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,65-74 years,65-74,10,Not Applicable,Not Applicable
California,6,"Dec., 2019",2019/12,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,25-34 years,25-34,10,Not Applicable,Not Applicable
California,6,"Dec., 2019",2019/12,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,13,Not Applicable,Not Applicable
California,6,"Dec., 2019",2019/12,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,21,Not Applicable,Not Applicable
California,6,"Dec., 2019",2019/12,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,13,Not Applicable,Not Applicable
California,6,"Dec., 2019",2019/12,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,23,Not Applicable,Not Applicable
California,6,"Dec., 2019",2019/12,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,22,Not Applicable,Not Applicable
California,6,"Dec., 2019",2019/12,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,14,Not Applicable,Not Applicable
California,6,"Jan., 2020",2020/01,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,55-64 years,55-64,10,Not Applicable,Not Applicable
California,6,"Jan., 2020",2020/01,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,15-24 years,15-24,11,Not Applicable,Not Applicable
California,6,"Jan., 2020",2020/01,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,25-34 years,25-34,15,Not Applicable,Not Applicable
California,6,"Jan., 2020",2020/01,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,35-44 years,35-44,12,Not Applicable,Not Applicable
California,6,"Jan., 2020",2020/01,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,14,Not Applicable,Not Applicable
California,6,"Jan., 2020",2020/01,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,22,Not Applicable,Not Applicable
California,6,"Jan., 2020",2020/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,31,Not Applicable,Not Applicable
California,6,"Jan., 2020",2020/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,25,Not Applicable,Not Applicable
California,6,"Jan., 2020",2020/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,13,Not Applicable,Not Applicable
California,6,"Jan., 2020",2020/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,45-54 years,45-54,12,Not Applicable,Not Applicable
California,6,"Feb., 2020",2020/02,Transport accidents,V01-V99,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,35-44 years,35-44,11,Not Applicable,Not Applicable
California,6,"Feb., 2020",2020/02,Transport accidents,V01-V99,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,55-64 years,55-64,12,Not Applicable,Not Applicable
California,6,"Feb., 2020",2020/02,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,35-44 years,35-44,12,Not Applicable,Not Applicable
California,6,"Feb., 2020",2020/02,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,55-64 years,55-64,10,Not Applicable,Not Applicable
California,6,"Feb., 2020",2020/02,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,16,Not Applicable,Not Applicable
California,6,"Feb., 2020",2020/02,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,17,Not Applicable,Not Applicable
California,6,"Feb., 2020",2020/02,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,13,Not Applicable,Not Applicable
California,6,"Feb., 2020",2020/02,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,21,Not Applicable,Not Applicable
California,6,"Feb., 2020",2020/02,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,30,Not Applicable,Not Applicable
California,6,"Feb., 2020",2020/02,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,19,Not Applicable,Not Applicable
California,6,"Feb., 2020",2020/02,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,45-54 years,45-54,10,Not Applicable,Not Applicable
California,6,"Mar., 2020",2020/03,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,18,Not Applicable,Not Applicable
California,6,"Mar., 2020",2020/03,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,12,Not Applicable,Not Applicable
California,6,"Mar., 2020",2020/03,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,10,Not Applicable,Not Applicable
California,6,"Mar., 2020",2020/03,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,55-64 years,55-64,10,Not Applicable,Not Applicable
California,6,"Mar., 2020",2020/03,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,22,Not Applicable,Not Applicable
California,6,"Mar., 2020",2020/03,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,31,Not Applicable,Not Applicable
California,6,"Mar., 2020",2020/03,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,21,Not Applicable,Not Applicable
California,6,"Apr., 2020",2020/04,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,25-34 years,25-34,10,Not Applicable,Not Applicable
California,6,"Apr., 2020",2020/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,14,Not Applicable,Not Applicable
California,6,"Apr., 2020",2020/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,18,Not Applicable,Not Applicable
California,6,"Apr., 2020",2020/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,38,Not Applicable,Not Applicable
California,6,"Apr., 2020",2020/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,26,Not Applicable,Not Applicable
California,6,"Apr., 2020",2020/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,19,Not Applicable,Not Applicable
California,6,"Apr., 2020",2020/04,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,45-54 years,45-54,11,Not Applicable,Not Applicable
California,6,"May, 2020",2020/05,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,35-44 years,35-44,10,Not Applicable,Not Applicable
California,6,"May, 2020",2020/05,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,15-24 years,15-24,11,Not Applicable,Not Applicable
California,6,"May, 2020",2020/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,21,Not Applicable,Not Applicable
California,6,"May, 2020",2020/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,16,Not Applicable,Not Applicable
California,6,"May, 2020",2020/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,11,Not Applicable,Not Applicable
California,6,"May, 2020",2020/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,31,Not Applicable,Not Applicable
California,6,"May, 2020",2020/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,30,Not Applicable,Not Applicable
California,6,"May, 2020",2020/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,24,Not Applicable,Not Applicable
California,6,"May, 2020",2020/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,45-54 years,45-54,11,Not Applicable,Not Applicable
California,6,"Jun., 2020",2020/06,Transport accidents,V01-V99,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,25-34 years,25-34,10,Not Applicable,Not Applicable
California,6,"Jun., 2020",2020/06,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,15-24 years,15-24,15,Not Applicable,Not Applicable
California,6,"Jun., 2020",2020/06,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,25-34 years,25-34,10,Not Applicable,Not Applicable
California,6,"Jun., 2020",2020/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,30,Not Applicable,Not Applicable
California,6,"Jun., 2020",2020/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,18,Not Applicable,Not Applicable
California,6,"Jun., 2020",2020/06,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,11,Not Applicable,Not Applicable
California,6,"Jun., 2020",2020/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,29,Not Applicable,Not Applicable
California,6,"Jun., 2020",2020/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,38,Not Applicable,Not Applicable
California,6,"Jun., 2020",2020/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,27,Not Applicable,Not Applicable
California,6,"Jun., 2020",2020/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,45-54 years,45-54,13,Not Applicable,Not Applicable
California,6,"Jul., 2020",2020/07,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,25-34 years,25-34,11,Not Applicable,Not Applicable
California,6,"Jul., 2020",2020/07,Transport accidents,V01-V99,Person injured in collision between other specified motor vehicles (traffic),V87.7,25-34 years,25-34,12,Not Applicable,Not Applicable
California,6,"Jul., 2020",2020/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,15,Not Applicable,Not Applicable
California,6,"Jul., 2020",2020/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,27,Not Applicable,Not Applicable
California,6,"Jul., 2020",2020/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35-44 years,35-44,12,Not Applicable,Not Applicable
California,6,"Jul., 2020",2020/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,45-54 years,45-54,12,Not Applicable,Not Applicable
California,6,"Jul., 2020",2020/07,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,55-64 years,55-64,12,Not Applicable,Not Applicable
California,6,"Jul., 2020",2020/07,Assault,X85-Y09,Assault by handgun discharge,X93,25-34 years,25-34,12,Not Applicable,Not Applicable
